Glutamatergic,dlPFC
Glutamatergic,M1C
Glutamatergic,ACC
Glutamatergic,V1C
GABAergic,dlPFC
GABAergic,M1C
GABAergic,ACC
GABAergic,V1C
Astro,dlPFC
Astro,M1C
Astro,ACC
Astro,V1C
Oligo,dlPFC
Oligo,M1C
Oligo,ACC
Oligo,V1C
OPC,dlPFC
OPC,M1C
OPC,ACC
OPC,V1C
Microglia,dlPFC
Microglia,M1C
Microglia,ACC
Microglia,V1C
