M1C,replicate,No_53
V1C,replicate,No_53
ACC,replicate,No_53
dlPFC,replicate,No_53
M1C,replicate,No_61
V1C,replicate,No_61
ACC,replicate,No_61
dlPFC,replicate,No_61
M1C,pseudorep,pseudo00
V1C,pseudorep,pseudo00
ACC,pseudorep,pseudo00
dlPFC,pseudorep,pseudo00
M1C,pseudorep,pseudo01
V1C,pseudorep,pseudo01
ACC,pseudorep,pseudo01
dlPFC,pseudorep,pseudo01
