,group,region1,region2,p,sig
135,round46,frontal_,occipita,0.0929,N
136,round46,frontal_,temporal,0.9,N
137,round46,occipita,temporal,0.0929,N
138,round47,frontal_,occipita,0.2373,N
139,round47,frontal_,temporal,0.9,N
140,round47,occipita,temporal,0.2373,N
141,round48,frontal_,occipita,0.2406,N
142,round48,frontal_,temporal,0.9,N
143,round48,occipita,temporal,0.2406,N
144,round49,frontal_,occipita,0.1485,N
145,round49,frontal_,temporal,0.9,N
146,round49,occipita,temporal,0.1485,N
