region,cell_name,threshold_v,latency,peak_v,trough_v,peak_amp,upstroke_downstroke_ratio,adaptation,isi_cv,avg_rate,tau,sag,Rin,Cm,half_width,DepoR,RepoR,AHPAmp,AHP_latency,RMP,IS1,IS2
Occipital,occipital_lobe_0829_cell6,-35.987854,0.00588,20.82824707,-41.5802002,56.81610107,3.258820346,0.313809569,0.499624039,8,0.018307804,0.030428927,274.3289185,-6.67367E-05,0.465789474,10.63778526,-4.508570621,10.69239566,3.6,-68.5,0.052834,0.025385
Occipital,occipital_lobe_0902_cell1,-45.53900825,0.01213,19.27354601,-64.74473741,64.81255425,1.983843598,0.02101403,0.163844905,36,0.010349665,0.084084256,115.9700012,-8.92443E-05,0.45,10.68115234,-5.37109375,19.83642578,2.55,-75.9217,0.015,0.0201925
Occipital,occipital_lobe_0914_cell1,-49.8103389,0.00318,-15.17401801,-65.68115234,34.63632089,1.765981341,0.005620191,0.068876359,54,0.010060445,0.037262438,209.9072266,-4.79281E-05,0,5.065917969,-3.021240234,19.62280273,3.75,-62.6,0.025018,0.0216075
Occipital,occipital_lobe_0914_cell3,-38.98620605,0.01578,33.58459473,-47.74983724,72.57080078,4.166666667,0.078858262,0.160310809,8,0.016143788,0.010358142,239.7155762,-6.73456E-05,0,10.52856445,-6.805419922,23.4375,2.25,-73.9,0.0252568,0.021645
Occipital,occipital_lobe_1121_cell13,-26.11287435,0.06943,20.99609375,-40.12044271,47.1089681,2.299595142,0.292857143,0.292857143,6,0.022056834,0.057455551,227.469635,-9.69661E-05,1.2,3.143310547,-1.369476318,16.45278931,30.675,-60.7,0.061718,0.063536667
Occipital,occipital_lobe_1121_cell14,-39.61791992,0.01968,26.52587891,-48.43139648,66.14379883,3.1889746,0.122578541,0.263010831,10,0.010620762,0.006937187,136.7375183,-7.76726E-05,1.081818182,7.016268643,-2.080743963,14.11854137,24.96818182,-58.4,0.05641,0.07529
Occipital,occipital_lobe_1121_cell15,-39.79682922,0.00288,-3.231048584,-51.03683472,36.56578064,2.051725338,0.029223581,0.255571516,32,0.007297525,0.204896793,408.9186096,-1.78459E-05,0,3.712373621,-1.628202551,11.99161305,8.464705882,-54.7,0.013333333,0.015573333
Occipital,occipital_lobe_1121_cell1,-41.68701172,0.03823,36.37695313,-44.40307617,78.06396484,3.888888889,,,2,0.008619225,0.10068762,194.8834229,-4.42276E-05,1.4,5.432128906,-1.388549805,9.002685547,15.775,-56.7,0.017423333,0.037143333
Occipital,occipital_lobe_1121_cell4,-39.46533203,0.03268,36.41357422,-48.05297852,75.87890625,3.457025386,0.065879296,0.153038103,10,0.00996189,0.1065301,126.8354797,-7.85418E-05,1.135,6.741333008,-2.420043945,11.32202148,23.91,-62.8,0.0105325,0.016253333
Occipital,occipital_lobe_1121_cell6,-41.35131836,,39.09301758,-50.14038086,80.44433594,3.597222222,,,2,0.008100393,0.087302628,142.2677612,-5.69377E-05,1.24,6.369018555,-1.910400391,11.20605469,25.2,-69.4,0.08650675,0.07569
